Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
  Westfield Wheaton  ,  11160 Veirs Mill Rd  , ,Wheaton,  Maryland  , ,  45 @nd Above  ,"  11160 Veirs Mill Rd Whe@ton  20902 (39.038338, -77.052937)  "
"  Guardian Realty Management, Inc.  ",  20410/20400 Observation Drive  ,nan,Germantown,  Maryland  ,20876, ,20410/20400 Observ@tion Drive Germantown  20876
Wal-Mart,20810 Fredrick Road,nan,  Germantown  ,-,20876,45 @nd Above,"20810 Fredrick Road Germantown  20876 (39.196947, -77.244743)"
1788 Holdings,NULL,nan,Rockville,M@ryland,20850,  45 and Above  ,"  4 Choke Cherry Rd. Rockville  20850 (39.114215, -77.184872)  "
Dr@iman Properties- Shoppes of Bethesda,-,nan,Bethesda,M@ryland,20814,45 and Above,"4910-4938 H@mpden Lane Bethesda  20814 (38.982695, -77.096843)"
9604 College Park LLC,12450 PARKLAWN DR,nan,  Rockville  ,  Maryland  ,20852,-,"12450 PARKLAWN DR Rockville  20852 (39.06152, -77.115771)"
  Montgomery County Department of Liquor Control  ,300 N W@shington St,  n@n  ,Rockville,  M@ryland  ,20850,Less Than 45,"  300 N Washington St Rockville  20850 (39.08934, -77.153717)  "
MCDONALDS TWINBROOK,  2101 Veirs Mill Rd  ,nan,ROCKVILLE,Maryland,20851,Less Than 45,"  2101 Veirs Mill Rd ROCKVILLE  20851 (39.074758, -77.115129)  "
  PRIM 1801 Rockville Pike LLC  ,  1801 Rockville Pike  ,  nan  ,Rockville,N/A,20850,45 @nd Above,  1801 Rockville Pike Rockville  20850  
"401 North Washington Owner, LLC",401 N. Washington Street,nan,Rockville,M@ryland,20850,45 and Above,"401 N. Washington Street Rockville  20850 (39.089846, -77.153708)"
HOLBROOK INVESTMENT CORP,411 S FREDERICK AVE,  nan  ,  GAITHERSBURG  ,  M@ryland  ,20877,-, 
  K@rl Offenbacher Trust  ,  18775-18779 N. Frederick Ave  ,nan,Gaithersburg,Maryland,20879,  45 and Above  ,"18775-18779 N. Frederick Ave Gaithersburg  20879 (39.164871, -77.227285)"
"Airpark One Condominium, Inc.",  7901-7917 Cessna Avenue  ,n@n,  Gaithersburg  ,M@ryland,20879,45 @nd Above,"7901-7917 Cessna Avenue Gaithersburg  20879 (39.171825, -77.160913)"
Draiman Properties- Draiman Office Centre,"4833 Rugby Ave,",nan,  Bethesda@  ,Maryland,20814,45 and Above,"  4833 Rugby Ave, Bethesda  20814 (38.991047, -77.098392)  "
HCR Manorcare Silver Spring,  2501 Musgrove Rd  ,n@n,Silver Spring,Maryland,20904,45 and Above,"2501 Musgrove Rd Silver Spring  20904 (39.067793, -76.959197)"
Karl Offenbacher et al Trust,  433-435 E. Diamond Ave.  ,  nan  ,  Gaithersburg  ,Maryland,20877,45 and Above,"433-435 E. Diamond Ave. Gaithersburg  20877 (39.141797, -77.186388)"
nan,  18860 Woodfield Rd  ,nan,G@ithersburg,Maryland,20879,45 @nd Above,"  18860 Woodfield Rd Gaithersburg  20879 (39.165673, -77.156375)  "
Jaymore-Howard Ave,4261-4277 Howard Avenue,1265,Kensington,M@ryland,20895,Less Than 45,"4261-4277 Howard Avenue Kensington  20895 (39.031034, -77.08443)"
"BDC Spectrum, LLC",  2160 INDUSTRIAL PKWY  ,nan,Silver Spring,  Maryland  ,-,45 and Above,"2160 INDUSTRIAL PKWY Silver Spring  20904 (39.053324, -76.968007)"
  Diplomate Parking Inc  ,8720 Georgi@ Ave,  n@n  ,Silver Spring,Maryland,20910,45 and Above,"  8720 Georgi@ Ave Silver Spring  20910 (38.997976, -77.030333)  "
Woodmont Properties ll,832-836 Rockville Pike,N/A,Rockville,N/A,20852,N/A,"832-836 Rockville Pike Rockville  20852 (39.076002, -77.137735)"
  NAI INC  d/b/a Safeway  ,see attached,nan,  see attached  ,Maryland,see attached, ,-
  Wheaton Commercial Centre LP  ,2715 - 2729 University Blvd,1120 Viers Mill Rd,Whe@ton,Maryland,20902,45 and Above,"  2715 - 2729 University Blvd Wheaton  20902 (39.039584, -77.056343)  "
N/A, ,nan,  Rockville  ,MD,20854,45 and Above,"  1201 Seven Locks Road Rockville  20854 (39.064275, -77.16011)  "
"LRS Group, LLC",  2317 Kansas Ave  ,nan,silver spring,Maryland,20910,  45 and Above  ,"  2317 Kansas Ave silver spring  20910 (39.002404, -77.049511)  "
  M@cArthur Plaza  ,7945 MacArthur Blvd,nan,C@bin John,  MD  ,20818,45 and Above,"7945 MacArthur Blvd Cabin John  20818 (38.974709, -77.162774)"
SAMBA Feder@l Employee Benefit Association,11301 Old Georgetown Rd.,nan,ROCKVILLE,  Maryland  ,20852,Less Than 45,"11301 Old Georgetown Rd. ROCKVILLE  20852 (39.040436, -77.122079)"
  MONTGOMERY MALL SHELL  ,10211 WESTLAKE DR,  nan  , ,Maryland,20817,  Less Than 45  ,"10211 WESTLAKE DR BETHESDA  20817 (39.023044, -77.149997)"
  SUNSHINE SQUARE  ,1321 ROCKVILLE PIKE,nan,ROCKVILLE,Maryland,20852,  45 and Above  ,"1321 ROCKVILLE PIKE ROCKVILLE  20852 (39.068705, -77.130007)"
Urciolo Properties LLC, ,  nan  ,  Takoma park  ,Maryland,20912,Less Th@n 45,"6903 Laurel Ave rear Takoma park  20912 (38.973892, -77.012766)"
N/A,14014 CONNECTICUT AVE,  nan  ,SILVER SPRING,  Maryland  ,20906,45 and Above,"14014 CONNECTICUT AVE SILVER SPRING  20906 (39.085137, -77.075027)"
Joe Heller,  12349 - 12357 Georgia Ave  ,nan,  Silver Spring  ,Maryland,20906,45 and Above,"12349 - 12357 Georgi@ Ave Silver Spring  20906 (39.059749, -77.050519)"
Kelly White,N/A,N/A,Gaithersburg,NULL,20874,45 and Above,-
6100 Executive LLC,6100 EXECUTIVE BLVD,nan,Rockville,Maryland,20852,  Less Than 45  ,"6100 EXECUTIVE BLVD Rockville  20852 (39.048581, -77.124151)"
"One Irvington Centre Associates, LLC",  702 King Farm Boulevard  ,  nan  ,  Rockville  ,Maryland,20850,  45 and Above  ,"702 King Farm Boulevard Rockville  20850 (39.111646, -77.177512)"
Weis Markets,26075 Ridge Road,nan,Damascus,M@ryland, ,45 and Above,"  26075 Ridge Road Damascus  20872 (39.285955, -77.209006)  "
BARRISTER PLACE CONDO,751 ROCKVILLE PIKE,  nan  ,ROCKVILLE,Maryland,20852,-,"751 ROCKVILLE PIKE ROCKVILLE  20852 (39.079039, -77.142339)"
Snow White Associates,8632- 8638 Flower Avenue,  n@n  ,Takoma Park,  Maryland  ,N/A,Less Than 45,"  8632- 8638 Flower Avenue Takoma Park  20912 (38.997101, -77.003301)  "
  Great Wall Supermarket of Maryland  ,  700 Hungerford Dr  ,nan,Rockville,  Maryland  ,20850,45 and Above,"700 Hungerford Dr Rockville  20850 (39.093148, -77.153512)"
  Westgard Land LLLP  ,5329 Westgard Ave.,nan,  Bethesda  ,MD,20816,Less Than 45,"5329 Westgard Ave. Bethesda  20816 (38.961941, -77.106524)"
  nan  ,18753 N Frederick Ave,N/A,Gaithersburg,Maryland,-,45 @nd Above,"18753 N Frederick Ave Gaithersburg  20879 (39.163759, -77.226398)"
  Ibrahim Properties LLC  ,5402 and 5404 Randolph rd.,N/A,Rockville, ,20852,  Less Than 45  ,"5402 and 5404 Randolph rd. Rockville  20852 (39.053474, -77.107445)"
Dawsons Corner LLC,  1 Dawson Avenue  , ,  Rockville  ,M@ryland,20850,Less Than 45,"1 D@wson Avenue Rockville  20850 (39.08862, -77.154077)"
 ,  9841 Washingtonian Blvd  ,  nan  ,  G@ithersburg  ,Maryland,NULL,  Less Than 45  ,"9841 Washingtonian Blvd Gaithersburg  20878 (39.116551, -77.199475)"
BILLY CHANG,  11323 GEORGIA AVE  , ,  SILVER SPRING MD  ,-,20906,Less Th@n 45,11323 GEORGIA AVE SILVER SPRING MD  20906
BARRISTERS PLACE CONDO,751 ROCKVILLE PIKE,n@n,ROCKVILLE,Maryland,20852,45 and Above,"751 ROCKVILLE PIKE ROCKVILLE  20852 (39.079039, -77.142339)"
BERNSTIEN COMPANIES,  1300 SPRING ST  ,nan,SILVER SPRING,  Maryland  ,20910,Less Than 45,"  1300 SPRING ST SILVER SPRING  20910 (38.998982, -77.032488)  "
  Rugby Marvels  ,8101 Glenbrook Rd,nan,  Bethesda  ,  Maryland  ,20814,45 and Above,"8101 Glenbrook Rd Bethesda  20814 (38.990766, -77.100317)"
USA Management,  12907-13097 Wisteria@ Drive  ,nan,  Germantown  ,  Maryland  ,20784,Less Th@n 45,"  12907-13097 Wisteria Drive Germantown  20784 (39.176983, -77.27022)  "
  Peel Properties  ,6006 Executive Blvd,  nan  ,Rockville,Maryland,20852,45 and Above,"  6006 Executive Blvd Rockville  20852 (39.048686, -77.122129)  "
"Blair Office Building, LLC",8380 Colesville Ro@d, ,Silver Spring,-,20910,Less Th@n 45,"  8380 Colesville Road Silver Spring  20910 (38.993341, -77.032703)  "
The Chevy Chase Land Company,N/A,n@n,-,M@ryland,20815,Less Than 45,"2 Wisconsin Circle Chevy Chase  20815 (38.961971, -77.085371)"
  Federal Realty Investment Trust  ,1601 Rockville Pike,n@n,Rockville,Maryland,20852,  45 and Above  ,"1601 Rockville Pike Rockville  20852 (39.06317, -77.12527)"
"  Saul Centres, Inc.  ",200 PERRY PKWY,N/A,G@ithersburg,Maryland,20877,  45 and Above  , 
Inigo's Crossing,  5405 Tuckerman Lane  ,nan,  North Bethesda  ,Maryland,20852,45 and Above,"  5405 Tuckerman Lane North Bethesda  20852 (39.029089, -77.1081)  "
Women's f@rm market,7155 Wisconsin Ave,  nan  ,Bethesda,  Maryland  ,20814,  45 and Above  ,"7155 Wisconsin Ave Bethesda  20814 (38.980991, -77.092523)"
"  Seven Locks Plaza, LC  ",1071-1099 Seven Locks Road,350 Fortune Terr@ce,N/A,M@ryland,20854,  45 @nd Above  ,"1071-1099 Seven Locks Ro@d Rockville  20854 (39.062099, -77.160804)"
Rockville Joint Venture,808 Hungerford Drive,nan,Rockville,  Maryland  ,20850,Less Th@n 45,"  808 Hungerford Drive Rockville  20850 (39.094801, -77.153222)  "
TA BEACH CORPORATION,12331 CARROLL AVE,nan,-,  Maryland  ,20852,  Less Than 45  ,"12331 CARROLL AVE ROCKVILLE  20852 (39.059255, -77.114066)"
Federal Realty Investment Trust,11800-11802 Rockville Pike,nan,NULL,Maryland,20852,45 and Above,"11800-11802 Rockville Pike Rockville  20852 (39.05027, -77.114883)"
  FEDERAL REALTY INVESTMENT TRUST  ,4806 BETHESDA AVENUE, ,BETHESDA,Maryland,20814,Less Than 45,"4806 BETHESDA AVENUE BETHESDA  20814 (38.980942, -77.095854)"
ELLSWORTH PLACE, ,  nan  ,SILVER SPRING,Maryland,20910,Less Than 45,"8661 COLESVILLE RD SILVER SPRING  20910 (38.997321, -77.027255)"
Zips Dry Cleaners / CTTL,  9811 WASHINGTONIAN BLVD  ,nan,Gaithersburg,Maryland,20878,Less Than 45,"  9811 WASHINGTONIAN BLVD Gaithersburg  20878 (39.11537, -77.198222)  "
"  Lebling Investment Randolph, LLC  ",  5465 R@ndolph Road  ,nan,NULL,Maryland,20852,NULL,"5465 R@ndolph Road Rockville  20852 (39.053411, -77.108896)"
Bethesda Associates,  4819 Rugby Avenue  ,  nan  ,Bethesda,  Maryland  ,20814,Less Than 45,"  4819 Rugby Avenue Bethesda  20814 (38.991167, -77.09764)  "
  Washington Real Estate Investment Trust  ,962 W@yne Avenue,-,Silver Spring,Maryland,20910,NULL,"962 Wayne Avenue Silver Spring  20910 (38.994545, -77.02601)"
"  GREAT FORTUNE INVESTMENTS, LLC  ",  607-609 SLIGO AVE  ,  n@n  ,  SILVER SPRING  ,Maryland,20910,  Less Than 45  ,"607-609 SLIGO AVE SILVER SPRING  20910 (38.991309, -77.013008)"
-,8913 BROOKVILLE ROAD,nan,  SILVER SPRING  ,  Maryland  ,20910,Less Than 45,"  8913 BROOKVILLE ROAD SILVER SPRING  20910 (39.001855, -77.053475)  "
Peel Properties,  50 W. Edmonston Drive  ,n@n,Rockville,Maryland,20852,  45 and Above  ,"50 W. Edmonston Drive Rockville  20852 (39.073933, -77.136531)"
GNRW Properties,4901 -4907 Rugby Ave,nan,Bethesda,Maryland,20814,-,N/A
"630 Montgomery Avenue, LLC.",  4630 Montgomery Avenue  ,nan,  Bethesda  ,M@ryland,20814, ,"  4630 Montgomery Avenue Bethesda  20814 (38.983822, -77.092756)  "
 ,7224 CARROLL AVE,  nan  ,TAKOMA,Maryland,20912,Less Than 45,"7224 CARROLL AVE TAKOMA  20912 (38.977989, -77.006647)"
"  Frederick Avenue Associ@tes, LP  ",  481 North Frederick Avenue  ,nan,Gaithersburg,M@ryland,20877,N/A,"  481 North Frederick Avenue Gaithersburg  20877 (39.149633, -77.208285)  "
"Germ@ntown (E&A), LLC",  12922 Middlebrook Road  ,13060 Middlebrook Ro@d,Germantown,Maryland,20874,45 and Above,NULL
"  Enterprise RAC Company of Maryland, LLC  ",  702 Rockville Pike  ,nan,  Rockville  ,NULL,20852,Less Than 45,"  702 Rockville Pike Rockville  20852 (39.079883, -77.143289)  "
"Tripeaks Investors, LLC", ,n@n,Gaithersburg,Maryland,20879, ,"18749 North Frederick Ro@d Gaithersburg  20879 (39.163477, -77.226134)"
FEDERAL REALTY INVESTMENT TRUST,  12055 ROCKVILLE PIKE  ,  n@n  ,  ROCKVILLE  ,Maryland,20852,45 and Above,"12055 ROCKVILLE PIKE ROCKVILLE  20852 (39.054724, -77.117863)"
T & K Management LLC,8200 GEORGIA AVE,nan,silver spring,Maryland,20910,Less Than 45,"8200 GEORGIA AVE silver spring  20910 (38.99183, -77.026694)"
The Metropolitan,7620 Old Georgetown Road,nan,Bethesda@,  Maryland  ,20814,Less Than 45,"7620 Old Georgetown Ro@d Bethesda  20814 (38.986056, -77.096357)"
Jeff Park Associates,NULL, ,Rockville,  MD  ,20850,45 @nd Above,"  401 E. Jefferson Street Rockville  20850 (39.081371, -77.147639)  "
"Horizon Plaza, LLC",  8035 Snouffer School Road  ,  nan  ,G@ithersburg,  Maryland  ,20879,45 and Above,"8035 Snouffer School Road Gaithersburg  20879 (39.160802, -77.163068)"
"Mid Pike, LLC",12224 Rockville Pike, ,Rockville,  Maryland  ,20852,45 @nd Above,"  12224 Rockville PIke Rockville  20852 (39.056019, -77.119128)  "
UDR/Ridgewood,4101 Postgate Terrace,  nan  ,Silver Spring,M@ryland,20906,45 @nd Above,"4101 Postgate Terrace Silver Spring  20906 (39.087717, -77.079155)"
"Pettit Commercial Properties, LLC",18201-18273 Flower Hill Way,  n@n  ,G@ithersburg,MD,20879,  45 @nd Above  ,"  18201-18273 Flower Hill Way Gaithersburg  20879 (39.15526, -77.164421)  "
THE NEUROLOGY CLINIC OF WASHINGTON,N/A, ,BETHESDA,M@ryland,20814,Less Than 45,NULL
Club LT  LLC, ,  nan  ,Silver Spring,Maryland,20910,  Less Th@n 45  ,"8230 Georgia Ave Silver Spring  20910 (38.992638, -77.026721)"
US Retail Partners Limited Partnership,  10141 Colesville Ro@d  ,nan,  Silver Spring  ,Maryland,20901,  45 and Above  ,"10141 Colesville Road Silver Spring  20901 (39.021112, -77.012079)"
BSREP II MD Office W@yne LLC,  962 Wayne Avenue  ,  nan  ,Silver Spring,Maryland,20910,Less Than 45,"962 Wayne Avenue Silver Spring  20910 (38.994545, -77.02601)"
Bethesda@ Sport&Health,  4400 Montgomery Ave  ,NULL,  Bethesda  ,M@ryland, ,45 and Above,"4400 Montgomery Ave Bethesda@  20814 (38.984243, -77.089816)"
"Frederick Avenue Associates, LP",481 North Frederick Avenue,  nan  ,Gaithersburg,  MD  ,20877,  45 and Above  ,"481 North Frederick Avenue Gaithersburg  20877 (39.149633, -77.208285)"
  6801 Wisconsin Ave  ,NULL,nan,  Bethesda  ,Maryland,20814,Less Than 45,  6801 Wisconsin Ave Bethesda  20814  
nan,NULL,nan,Rockville,  Maryland  ,20852,N/A,"11910 Parklawn Dr Rockville  20852 (39.051617, -77.106483)"
"4000 Enterprise, LLC",4000 Howard Avenue,nan,  Kensington  ,  M@ryland  ,20895,  Less Than 45  ,"  4000 Howard Avenue Kensington  20895 (39.029702, -77.078505)  "
MONTGOMERY MALL SHELL,10211 WESTLAKE DR,-,  BETHESDA  ,  Maryland  ,20817,Less Than 45,"10211 WESTLAKE DR BETHESDA  20817 (39.023044, -77.149997)"
Kelly White,8035 Snouffer School Road,  nan  ,Gaithersburg,Maryland,20879,45 and Above,"  8035 Snouffer School Ro@d Gaithersburg  20879 (39.160802, -77.163068)  "
"Airpark One Condominium, Inc.",  7901-7917 Cessna Avenue  ,  nan  ,GAITHERSBURG,Maryland,20879,45 and Above,"  7901-7917 Cessna Avenue GAITHERSBURG  20879 (39.171825, -77.160913)  "
"Shady Grove Tech Centre Associates, LP",15200 Shady Grove Road,  n@n  ,Rockville,Maryland,20850,45 and Above,"15200 Shady Grove Road Rockville  20850 (39.104564, -77.190606)"
"CH Realty III/Gaitherstowne, LLC",NULL,n@n,Gaitherstown,Maryland,20877,45 @nd Above,"206-300 N. Frederick Ave Gaitherstown  20877 (39.144451, -77.202227)"
  77 Uprock LLC & 50 Uprock LLC  ,-,nan,Rockville,Maryland,20850,45 and Above,"  50 Upper Rock Circle Rockville  20850 (39.111994, -77.184623)  "
"  PC 602 Gir@rd, LLC, PC 620 Girard, LLC, PC 630 Girard, PC 640 Girard, LLC (Owner's and Tenants in Common)  ","602, 610, 620, 630 and 640 East Diamond Ave",  nan  ,Gaithersburg,M@ryland,20877,  45 @nd Above  ,"602, 610, 620, 630 and 640 East Diamond Ave Gaithersburg  20877"
NEW KAM FONG,2400 UNIVERSITY BLVD WEST,nan,SILVER SPRING,Maryland,20902,Less Than 45,"2400 UNIVERSITY BLVD WEST SILVER SPRING  20902 (39.041566, -77.050539)"
"  Four Irvington Centre Associates, LLC  ",-,nan,  Rockville  ,Maryland,20850,45 @nd Above,"805 King Farm Boulevard Rockville  20850 (39.110726, -77.181971)"
Karma Holdings LLC,  651 - 673 Lofstrand Lane  ,nan,  Rockville  ,Maryland,20850,Less Than 45,"  651 - 673 Lofstrand Lane Rockville  20850 (39.094052, -77.13809)  "
"  Anthony Wilder Design Build, Inc  ",  7913 MacArthur Blvd.  ,nan,  Cabin John  ,Maryland,20818,Less Than 45,"7913 M@cArthur Blvd. Cabin John  20818 (38.974586, -77.162137)"
Karl Offenbacher,N/A,nan,Gaithersburg,Maryland,20877,  45 and Above  ,"433-435 E Diamond Ave Gaithersburg  20877 (39.141797, -77.186388)"
"Park Potomac Building G, LLC",12525 PARK POTOMAC AVE,nan,Potomac,M@ryland,20854,  45 @nd Above  ,"12525 PARK POTOMAC AVE Potom@c  20854 (39.061451, -77.157911)"
10101 Grosvenor Condominium,10101 Grosevenor Place,nan,N. Bethesda@,Maryland,20582,NULL,"10101 Grosevenor Pl@ce N. Bethesda  20582 (39.022735, -77.10456)"
  Federal Realty Investment Trust  ,  616 Quince Orch@rd Blvd  , ,Gaithersburg,  Maryland  ,20878,45 and Above,  616 Quince Orchard Blvd Gaithersburg  20878  
  nan  ,  12115 Parklawn Dr  ,n@n,Rockville,  Maryland  ,20852,45 and Above,"12115 P@rklawn Dr Rockville  20852 (39.056795, -77.109482)"
NULL,12209 Veirs Mill Road,  nan  ,WHEATON,Maryland,20906,  45 and Above  ,"  12209 Veirs Mill Road WHEATON  20906 (39.056417, -77.082842)  "
"  PCO, LLC  ",18200-18250 Flower Hill Way,nan,G@ithersburg,M@ryland,20879,  45 @nd Above  ,"18200-18250 Flower Hill Way Gaithersburg  20879 (39.155429, -77.164591)"
  Bluebird Germ@ntown MD LLC  ,20926 N Frederick Rd,nan,Germantown,  Maryland  ,20876,45 @nd Above,"20926 N Frederick Rd Germ@ntown  20876 (39.202867, -77.245789)"
"1055 FIST ST, LLC",  1055 FIRST ST  ,nan,ROCKVILLE,Maryland,20850,45 and Above,"1055 FIRST ST ROCKVILLE  20850 (39.092906, -77.134219)"
"Middlebrook Tech., LLC",12401 Middlebrook Road,  n@n  ,Germantown,  Maryland  ,20874,45 @nd Above,N/A
"Immerman & Kenney Properties, LLC",NULL,  nan  ,Takoma Park,N/A,20912,Less Than 45,"6 Lee Avenue Takoma Park  20912 (38.979174, -77.005703)"
C@pital One Bank,8676 Georgia Avenue,nan,Silver Spring,Maryland,N/A,Less Than 45,"8676 Georgia Avenue Silver Spring  20910 (38.997244, -77.029564)"
EXTENDED STAY AMERICA, ,nan,  GAITHERSBURG  ,  Maryland  ,20879,45 @nd Above,NULL
Federal Realty Investment Trust,  1776 E Jefferson St.  ,NULL,  Rockville  ,Maryland,20852,45 and Above,"1776 E Jefferson St. Rockville  20852 (39.057447, -77.126308)"
"Farragut BT, LLC",3720 Farragut Avenue,  nan  ,Kensington,MD - M@ryland,20895,Less Th@n 45,"3720 Farragut Avenue Kensington  20895 (39.031937, -77.074162)"
SUTTON MANAGEMENT,  600-604 S Frederick @ve  ,  nan  ,GAITHERSBURG,M@ryland,20877,  45 @nd Above  ,NULL
Exch@nge Place Joint Venture,451 Hungerford Drive,nan,  ROCKVILLE  ,Maryland,20850,45 and Above,"451 Hungerford Drive ROCKVILLE  20850 (39.089923, -77.152)"
 ,1057-1099 Taft St.,  nan  ,  Rockville  ,Maryland,20850,  45 and Above  ,"1057-1099 Taft St. Rockville  20850 (39.093634, -77.136235)"
David Rosenblatt,-,nan,  Gaithersburg  ,M@ryland,20877, ,"6, 8, 10, 12 North Summit Avenue Gaithersburg  20877 (39.142593, -77.193332)"
"Guardian Realty Management, Inc.",702 Russell Avenue,  nan  ,  Gaithersburg  ,  M@ryland  ,20877,45 and Above,"702 Russell Avenue Gaithersburg  20877 (39.151096, -77.206754)"
C@pital One Bank,  4825 Cordell Avenue  ,nan,Bethesda,Maryland,20814,  Less Than 45  ,"4825 Cordell Avenue Bethesda  20814 (38.990774, -77.096721)"
  Patient First (Tenant) / T&K Management (Landlord's Agent)  , ,nan,Silver Spring,  Maryland  ,20910,Less Than 45,"  8206 GEORGIA AVE Silver Spring  20910 (38.99197, -77.026695)  "
The Neurology Clinic of Washington,-,n@n,Olney,M@ryland,20832,Less Than 45,"  18213 Hillcrest Ave Olney  20832 (39.154557, -77.066526)  "
-,  12805 GEORGIA AVE  ,nan,  SILVER SPRING  , ,20906,45 @nd Above,"12805 GEORGIA AVE SILVER SPRING  20906 (39.065279, -77.05751)"
nan,7410-3 WESTMORE RD,nan,ROCKVILLE,M@ryland,20850,Less Than 45,"7410-3 WESTMORE RD ROCKVILLE  20850 (39.099398, -77.151747)"
"TRI-PETRO,LLC/BELTWAY SHELL",  9510 GEORGIA AVENUE  ,nan,  SILVER SPRING  ,  Maryland  ,20910,-,"9510 GEORGIA AVENUE SILVER SPRING  20910 (39.010811, -77.041029)"
"  Bethesda Plaza Condominium, Inc.  ",8311 Wisconsin Ave,  n@n  ,  Bethesda  ,md,20814,45 @nd Above,"8311 Wisconsin Ave Bethesda  20814 (38.9932, -77.09605)"
Washington Real Estate Investment Trust,  600 Jefferson Plaza  ,n@n,Rockville,M@ryland,20852,45 and Above,"600 Jefferson Plaza Rockville  20852 (39.080798, -77.146347)"
  Golden House Rest@urant (Tenant) / T&K Management (Landlord's Agent)  ,N/A,nan,Silver Spring,-,20910,Less Th@n 45,"  8200 Georgia Ave Silver Spring  20910 (38.99183, -77.026694)  "
WM RICKMAN CONSTRUCTION COMPANY,15800 - 15850 CRABBS BRANCH WAY,nan,ROCKVILLE,Maryland, ,  45 @nd Above  ,"15800 - 15850 CRABBS BRANCH WAY ROCKVILLE  20855 (39.113554, -77.158489)"
C@pital One Bank,  12201 D@rnestown Road  ,N/A,  Gaithersburg  ,Maryland,20878,Less Than 45,"  12201 D@rnestown Road Gaithersburg  20878 (39.11806, -77.25344)  "
  Hung Phat Grocery  ,11315 FERN ST,nan,  Wheaton  ,Maryland,20902,Less Than 45,"11315 FERN ST Wheaton  20902 (39.040692, -77.049461)"
  James L. Muscatello  ,8500 Musc@tello Court,nan,Gaithersburg,M@ryland,20877,  45 and Above  ,"8500 Muscatello Court Gaithersburg  20877 (39.13081, -77.17484)"
"Perry Parkway Associates, LP",  501 North Frederick Avenue  ,nan,Gaithersburg,Maryland,20877,  45 and Above  ,"  501 North Frederick Avenue Gaithersburg  20877 (39.150702, -77.209614)  "
EXTRA SPACE STORAGE, ,  nan  ,ROCKVILLE,Maryland,20852,N/A,"11850 PARKLAWN DR ROCKVILLE  20852 (39.050728, -77.104788)"
"L@fayette Place Associates, LP",  2322 University Blvd. W  ,nan,NULL,  M@ryland  ,20902,Less Than 45,"2322 University Blvd. W Wheaton  20902 (39.041529, -77.049773)"
  JEMAL'S AUTO MALL  ,8021 - 8031 SNOUFFER SCHOOL RD,  nan  ,GAITHERSBURG,Maryland,20879,  45 and Above  ,"  8021 - 8031 SNOUFFER SCHOOL RD GAITHERSBURG  20879 (39.160279, -77.162001)  "
  WINTERGREEN PLAZA  ,100 MARYLAND AVE,  nan  ,-,Maryland,20850,  45 and Above  ,"100 MARYLAND AVE ROCKVILLE  20850 (39.082089, -77.151215)"
"  Greenmountain Associates L.P., LLLP  ",  in back of 11249 to 11255 Grandview Ave  ,  nan  ,N/A,  Maryland  ,20902,NULL,in back of 11249 to 11255 Grandview Ave Wheaton  20902
Mich@el Causey, ,11 Fedor Avenue,Gaithersburg,Maryland,20877,45 and Above,"  16105 Shady Grove Road Gaithersburg  20877 (39.120907, -77.179382)  "
  BELTWAY SHELL  ,  95 Gauley River Path  , ,Falling Waters,West Virginia,25419,  Less Than 45  ,"  95 Gauley River Path Falling Waters  25419 (39.578038, -77.86636)  "
nan,1331 Rockville pike,  nan  ,Rockville,NULL,20852,  45 and Above  ,"1331 Rockville pike Rockville  20852 (39.06857, -77.129875)"
 ,19560 AMARANTH DR,n@n,GERMANTOWN,Maryland,20874,45 and Above,"19560 AMARANTH DR GERMANTOWN  20874 (39.17702, -77.249845)"
Karl Offenbacher,1057-1099 T@ft St,nan,  Rockville  , ,20850,  45 and Above  ,"  1057-1099 Taft St Rockville  20850 (39.093634, -77.136235)  "
The Sterling Condominium Homeowner Association,N/A,n@n,  North Bethesda@  ,  Maryland  ,20852,45 @nd Above,"11700 Old Georgetown Rd. North Bethesda  20852 (39.04977, -77.113244)"
COLOMBO BANK,  7901 EASTERN AVE  ,nan,SILVER SPRING,Maryland,20910,NULL,"7901 EASTERN AVE SILVER SPRING  20910 (38.986132, -77.028622)"
FEDERAL REALTY INVESTMENT TRUST,7255 WOODMONT AVENUE,nan,BETHESDA,Maryland,20814,Less Than 45,"7255 WOODMONT AVENUE BETHESDA  20814 (38.981574, -77.095869)"
  C@ddis Healthcare Real Estate  ,  9601 BLACKWELL RD  ,nan,Rockville,Maryland,20850,  45 and Above  ,"9601 BLACKWELL RD Rockville  20850 (39.101271, -77.193114)"
GRACE CUSTOM BUILD,411 E DIAMOND AVE, ,  Gaithersburg  ,M@ryland,20877,Less Th@n 45,"411 E DIAMOND AVE Gaithersburg  20877 (39.142049, -77.189443)"
nan,8100 Wisconsin Ave,  nan  ,Bethesda@,Maryland,20814,Less Than 45,"  8100 Wisconsin Ave Bethesda  20814 (38.991117, -77.095729)  "
NULL,  2522 UNIVERSITY BLVD WEST  ,nan,WHEATON,Maryland,20902,  Less Than 45  ,"  2522 UNIVERSITY BLVD WEST WHEATON  20902 (39.041161, -77.05268)  "
FEDERAL REALTY INVESTMENT TRUST,HAGER LANE,nan,BETHESDA,Maryland,20814,Less Than 45,HAGER LANE BETHESDA  20814
