Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
Woodmont Corner Master and Lionsgate Condominiums,  7710 WOODMONT AVE  ,  nan  ,Bethesda,  Maryland  ,20814,Less Th@n 45,"  7710 WOODMONT AVE Bethesda  20814 (38.986647, -77.096295)  "
EBA Ernest Bl@nd Associates,-,nan,silver spring,-,20910,  Less Than 45  ,"  802 SLIGO AVE silver spring  20910 (38.990097, -77.019595)  "
N/A,N/A,n@n,Bethesda@, ,20814,45 and Above,"6933 ARLINGTON RD Bethesda  20814 (38.978944, -77.098725)"
N/A,815 ROCKVILLE PIKE,nan,Rockville,Maryland,20852,  45 and Above  ,"  815 ROCKVILLE PIKE Rockville  20852 (39.075373, -77.137139)  "
-,6931 ARLINGTON RD,nan,Bethesda,Maryland,20814,45 and Above,"6931 ARLINGTON RD Bethesda  20814 (38.978887, -77.098725)"
"Lebling Investment Randolph, LLC",5465 RANDOLPH RD,  nan  ,Rockville,Maryland,20852,Less Than 45,"  5465 RANDOLPH RD Rockville  20852 (39.053411, -77.108896)  "
JAGUAR LAND ROVER BETHESDA,  11617 OLD GEORGETOWN RD  ,nan,ROCKVILLE,  Maryland  ,20852,45 and Above,NULL
NULL,16831 OAKMONT AVE,  n@n  ,Gaithersburg,  Maryland  ,20877,45 and Above,"16831 OAKMONT AVE Gaithersburg  20877 (39.132504, -77.175289)"
  Green Living LLC  ,1098 TAFT ST,n@n,Rockville,Maryland,20850,Less Than 45,"1098 TAFT ST Rockville  20850 (39.093635, -77.13624)"
VREC III - LO Colesville Medical MOB LLC,  10770 COLUMBIA PIKE  ,  nan  ,Silver Spring,Maryland,NULL,45 and Above,"10770 COLUMBIA PIKE Silver Spring  20901 (39.0329, -77.003293)"
  Tova Fliegel  ,109 E DIAMOND AVE,  nan  ,Gaithersburg,Maryland,N/A,Less Than 45,"109 E DIAMOND AVE Gaithersburg  20877 (39.14199, -77.195138)"
Saul Holdings Limited Partnership7501,-,  n@n  ,N/A,Maryland,20877,45 and Above,"200 PERRY PKWY G@ithersburg  20877 (39.140963, -77.209565)"
7851 Beechcraft Industrial Condo,  7851 BEECHCRAFT AVE  ,nan,Gaithersburg, ,20879,45 and Above,"  7851 BEECHCRAFT AVE G@ithersburg  20879 (39.162435, -77.160813)  "
"1500 Rockville Pike, LLC",  1500 ROCKVILLE PIKE  ,-,Rockville,  Maryland  ,-,45 and Above,"1500 ROCKVILLE PIKE Rockville  20852 (39.064646, -77.126229)"
  Saul Holdings Limited Partnership  ,3410 OLNEY LAYTONSVILLE RD,nan,  Olney  , ,20832,45 and Above,"  3410 OLNEY LAYTONSVILLE RD Olney  20832 (39.15352, -77.067651)  "
"1500 Rockville Pike, LLC",1500 ROCKVILLE PIKE,N/A,  Rockville  ,Maryland,20852,45 @nd Above,"  1500 ROCKVILLE PIKE Rockville  20852 (39.064646, -77.126229)  "
  Beechcraft Research Centre  ,8134 BEECHCRAFT AVE,  nan  ,Gaithersburg,Maryland,20879,Less Than 45,8134 BEECHCRAFT AVE Gaithersburg  20879
A & C Fine Dining,2646 university Blvd.,NULL,  silver spring  ,M@ryland,20902,Less Than 45,2646 university Blvd. silver spring  20902
  JM Commercial Property Management LLC  ,  5709 FREDERICK AVE  ,nan,  Rockville  ,  Maryland  ,20852,Less Th@n 45,"5709 FREDERICK AVE Rockville  20852 (39.059099, -77.115712)"
NULL,600 N FREDERICK AVE,nan,  Gaithersburg  ,Maryland,20877,45 @nd Above,-
"  Takoma Business Centre, LLC  ",6930 CARROLL AVE,  nan  ,T@koma Park,Maryland,20912,  Less Than 45  ,"6930 CARROLL AVE Takoma Park  20912 (38.974786, -77.013879)"
"  Takoma Business Centre, LLC  ",7112 WILLOW AVE,n@n,T@koma Park,  Maryland  ,20912,Less Than 45,"  7112 WILLOW AVE Takoma Park  20912 (38.975107, -77.012878)  "
"M@tan Auburn Avenue, LLC",4927 AUBURN AVE,nan,  Bethesda  ,Maryland,20814,  Less Than 45  ,"  4927 AUBURN AVE Bethesda  20814 (38.989547, -77.100332)  "
 ,  12 TAFT CT  ,N/A,Rockville,  Maryland  ,20850,Less Than 45,"12 TAFT CT Rockville  20850 (39.096036, -77.131012)"
"74 Takoma Park Owner, LLC",  8750 Arliss Street  ,  n@n  , ,M@ryland,20901,45 and Above,"8750 Arliss Street Silver Spring  20901 (39.000669, -77.002372)"
"HD Development of M@ryland, Inc.",2300 BROADBIRCH DR,nan,Silver Springs,Maryland,20904,45 and Above,"2300 BROADBIRCH DR Silver Springs  20904 (39.055508, -76.961402)"
Windf@ll Rockville LLC,  1701 ROCKVILLE PIKE  ,  nan  ,Rockville,Maryland,20852,45 @nd Above,"  1701 ROCKVILLE PIKE Rockville  20852 (39.06042, -77.12402)  "
Regency Centres,505 QUINCE ORCHARD RD,nan,  G@ithersburg  ,Maryland,20878,Less Than 45,"505 QUINCE ORCHARD RD Gaithersburg  20878 (39.144513984, -77.219784035)"
Walnut Hill Propco LLC,  16515 S FREDERICK AVE  ,nan,Gaithersburg,Maryland,20877,45 and Above,"16515 S FREDERICK AVE Gaithersburg  20877 (39.127548006, -77.183160985)"
 ,3213 HEWITT AVE,  nan  ,  silver spring  ,Maryland,20906,  45 and Above  ,"3213 HEWITT AVE silver spring  20906 (39.079592, -77.065849)"
